project_url,n_dev,truck_factor,gini_commits,proj_failed
https://github.com/joe-siyuan-qiao/DetectoRS.git,103,2,0.8191033695031411,1
https://github.com/joeynmt/joeynmt.git,34,2,0.8466293597084853,1
https://github.com/jrzaurin/pytorch-widedeep.git,10,1,0.8348054679284962,0
https://github.com/jtyoui/Jtyoui.git,1,1,0.0,1
https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix.git,69,2,0.8183170772028434,1
https://github.com/kakao/buffalo.git,30,3,0.7386029411764705,0
https://github.com/kakaobrain/torchgpipe.git,8,2,0.6971428571428571,1
https://github.com/kan-bayashi/PytorchWaveNetVocoder.git,2,1,0.49739583333333326,1
https://github.com/kaushaltrivedi/fast-bert.git,32,1,0.8014812138728324,1
https://github.com/kdexd/virtex.git,3,1,0.6576168929110107,1
https://github.com/keiohta/tf2rl.git,5,1,0.6959731543624161,1
https://github.com/keras-team/autokeras.git,143,1,0.8613828368163627,1
https://github.com/keras-team/keras-tuner.git,61,3,0.8622317402385871,1
https://github.com/kerlomz/captcha_platform.git,5,1,0.7747126436781611,1
https://github.com/kermitt2/delft.git,11,1,0.8046709129511678,0
https://github.com/keunwoochoi/kapre.git,12,1,0.8474358974358975,1
https://github.com/kk7nc/HDLTex.git,5,1,0.7754789272030651,1
https://github.com/kk7nc/RMDL.git,6,1,0.8156565656565655,1
https://github.com/kleinee/jns.git,4,1,0.6864508393285371,1
https://github.com/knazeri/edge-connect.git,6,1,0.6954022988505746,1
https://github.com/koaning/scikit-lego.git,64,2,0.8019545053003534,0
https://github.com/kornia/kornia.git,285,3,0.8577968317674602,0
https://github.com/kubeflow-kale/kale.git,10,1,0.7885093167701862,1
https://github.com/kundajelab/deeplift.git,11,1,0.8824593128390597,1
https://github.com/kwotsin/mimicry.git,1,1,0.0,1
https://github.com/l3p-cv/lost.git,20,2,0.7879129129129128,0
https://github.com/lab-ml/labml.git,9,1,0.7106682072020027,1
https://github.com/learnables/cherry.git,10,1,0.8714285714285714,0
https://github.com/learnables/learn2learn.git,30,1,0.8398692810457515,1
https://github.com/leela-zero/leela-zero.git,64,2,0.8301386307311029,1
https://github.com/loujie0822/DeepIE.git,1,1,0.0,1
https://github.com/lsds/KungFu.git,7,1,0.7254464285714286,1
https://github.com/lucidrains/reformer-pytorch.git,11,1,0.849768875192604,1
https://github.com/lufficc/SSD.git,11,1,0.8020631850419084,1
https://github.com/lukas/ml-class.git,19,1,0.8368666612097897,1
https://github.com/lukemelas/EfficientNet-PyTorch.git,25,2,0.7456790123456789,1
https://github.com/lululxvi/deepxde.git,81,1,0.8742481798037354,0
https://github.com/machine-learning-apps/Issue-Label-Bot.git,10,1,0.7953488372093023,1
https://github.com/maelfabien/Multimodal-Emotion-Recognition.git,4,1,0.5203081232492996,1
https://github.com/magenta/ddsp.git,31,2,0.7782941498086386,1
https://github.com/magenta/magenta.git,156,3,0.8216059379217273,0
https://github.com/malllabiisc/RESIDE.git,5,1,0.7333333333333334,1
https://github.com/mangaki/mangaki.git,29,2,0.8325709057639523,1
https://github.com/mapbox/robosat.git,15,1,0.6972972972972973,1
https://github.com/masa-su/pixyz.git,12,1,0.8488593155893538,1
https://github.com/materialsvirtuallab/megnet.git,10,2,0.6759162303664921,1
https://github.com/mdeff/fma.git,3,1,0.6471544715447155,1
https://github.com/medipixel/rl_algorithms.git,11,2,0.6383399209486167,1
https://github.com/mesutpiskin/computer-vision-guide.git,1,1,0.0,1
https://github.com/michaelhush/M-LOOP.git,14,2,0.7540410659676715,1
https://github.com/microsoft/DeepSpeed.git,391,8,0.7872692303200659,0
https://github.com/microsoft/EdgeML.git,34,2,0.8011896893588897,1
https://github.com/microsoft/MMdnn.git,82,3,0.8314958149581495,1
https://github.com/microsoft/Windows-Machine-Learning.git,54,4,0.7955996044588276,1
https://github.com/microsoft/ai-edu.git,62,3,0.7834433392209723,1
